log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelname;round name;time;valid loss;valid ppl;ppl;;;;Valid  perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8;;;;;;;;;;;;;;;;;;;
Model 2;27;12.1;4.36;77.97;28.72;;;;Epoch 16;4.48;4.3;4.3;4.4;4.79;;;;;;;;;;;;;;;;;;;
Model 2;28;11.96;4.36;77.97;28.58;;;;Epoch 17;4.48;4.3;4.3;4.4;4.77;;;;;;;;;;;;;;;;;;;
Model 2;29;11.94;4.36;77.97;28.51;;;;Epoch 18;4.48;4.29;4.29;4.41;4.77;;;;;;;;;;;;;;;;;;;
Model 2;30;12.32;4.36;77.97;28.57;;;;Epoch 19;4.48;4.29;4.29;4.34;4.78;;;;;;;;;;;;;;;;;;;
Model 2;31;12.12;4.36;77.97;28.5;;;;Epoch 20;4.48;4.29;4.29;4.34;4.73;;;;;;;;;;;;;;;;;;;
Model 2;32;12;4.36;77.97;28.73;;;;Epoch 21;4.48;4.29;4.29;4.33;4.73;;;;;;;;;;;;;;;;;;;
Model 2;33;11.87;4.36;77.97;28.5;;;;Epoch 22;4.48;4.28;4.28;4.33;4.72;;;;;;;;;;;;;;;;;;;
Model 2;34;11.89;4.36;77.97;28.48;;;;Epoch 23;4.48;4.28;4.28;4.33;4.71;;;;;;;;;;;;;;;;;;;
Model 2;35;11.93;4.36;77.97;28.76;;;;Epoch 24;4.48;4.28;4.28;4.33;4.71;;;;;;;;;;;;;;;;;;;
Model 2;36;11.89;4.36;77.97;28.5;;;;Epoch 25;4.48;4.28;4.28;4.32;4.7;;;;;;;;;;;;;;;;;;;
Model 2;37;11.98;4.36;77.97;28.6;;;;Epoch 26;4.48;4.28;4.28;4.32;4.69;;;;;;;;;;;;;;;;;;;
Model 2;38;11.91;4.36;77.97;28.56;;;;Epoch 27;4.48;4.28;4.28;4.32;4.69;;;;;;;;;;;;;;;;;;;
Model 2;39;11.96;4.36;77.97;28.67;;;;Epoch 28;4.48;4.28;4.28;4.32;4.69;;;;;;;;;;;;;;;;;;;
